codigo_ocorrencia,classification,type,category_type,icao_type,latitude,longitude,city,state,aerodrome,date,hour_of_incident,status,report_number,aircraft_involved,rwy_excursion
201305055424986,ACCIDENT,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-9.9085,-63.0333,ARIQUEMES,RO,SJOG,2013-05-05,1900-01-01 11:00:00,FINALIZADA,***,1,0
201605160250139,SERIOUS INCIDENT,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-11.2644,-61.2589,CACOAL,RO,SSKW,2016-05-13,1900-01-01 19:19:00,ATIVA,IG-084/CENIPA/2016,1,0
201805021421302,INCIDENT,AERÓDROMO,AERÓDROMO,ADRM,-11.4956,-61.4508,CACOAL,RO,SSKW,2018-03-09,1900-01-01 22:40:00,FINALIZADA,***,1,0
201311259977425,SERIOUS INCIDENT,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA,ARC,-11.4956,-61.4508,CACOAL,RO,SSKW,2013-11-25,1900-01-01 12:32:00,FINALIZADA,IG-209/CENIPA/2013,1,0
201103187273112,INCIDENT,OUTROS,OUTROS,OTHR,-13.195,-60.8184,CEREJEIRAS,RO,****,2011-03-18,1900-01-01 13:30:00,FINALIZADA,***,1,0
200808073991179,ACCIDENT,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,-9.1194,-68.5978,CEREJEIRAS,RO,****,2008-08-07,1900-01-01 15:10:00,FINALIZADA,A - 517/CENIPA/2016,1,1
201108118145873,ACCIDENT,POUSO LONGO,EXCURSÃO DE PISTA,RE,3.7119,-64.1625,AMAJARI,RR,****,2011-08-11,1900-01-01 17:00:00,FINALIZADA,A-105/CENIPA/2012,1,0
201604251335501,SERIOUS INCIDENT,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,3.5544,-61.8694,AMAJARI,RR,****,2016-02-24,1900-01-01 05:48:00,ATIVA,IG-069/CENIPA/2016,2,0
201604062021424,ACCIDENT,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,3.7633,-62.4094,AMAJARI,RR,SWAQ,2016-04-05,1900-01-01 16:05:00,FINALIZADA,A-063/CENIPA/2016,1,1
200902274965349,INCIDENT,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,3.6521,-61.4206,AMAJARI,RR,****,2009-02-27,1900-01-01 16:30:00,FINALIZADA,***,1,1
